Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1000433,-0.01642135,0.01315042,-1.00085,-0.003512022,-0.005458717,0.006764031,2.488378e-05,0.0009132932,-1.759547,0.004434353,0.008755771,0.0001671608
1100393,-0.01406677,0.01158596,-1.182715,-0.003330187,-0.004836658,0.006733366,0.002005824,0.001767566,-1.8306,0.0007792412,0.005575023,7.669482e-05
1200353,-0.01177087,0.01035659,-1.37306,-0.003346802,-0.004310396,0.00670517,0.004839991,0.001554679,-1.886399,-0.0005550967,0.005830816,0.0003883003
1300313,-0.009040151,0.008810997,-1.568954,-0.003378727,-0.003806303,0.006699836,0.006841816,0.002266043,-1.9229,0.0008996527,0.005163634,0.0004991916
1400273,-0.006361436,0.007451276,-1.768685,-0.003297588,-0.003338141,0.006709652,0.008627523,-0.002008478,-1.943031,0.001780782,0.004782563,0.000595396
1500233,-0.003165729,0.005725272,-1.969908,-0.002896991,-0.002906158,0.006727723,0.009547625,-0.001631994,-1.942577,0.005537135,0.004072233,0.0006797235
1600193,-0.0001572391,0.004320167,-2.17139,-0.002488707,-0.002421627,0.006740459,0.01027661,-0.00402579,-1.931267,0.003531437,0.005881115,0.0005676249
1700153,0.002988348,0.002675087,-2.371556,-0.002153362,-0.001972836,0.006724424,0.007888861,-0.005227848,-1.906355,0.003669208,0.003962562,0.0003058089
1800113,0.005798457,0.001226011,-2.569205,-0.001811501,-0.001790074,0.006713038,0.005114096,-0.003319896,-1.869299,0.003616609,0.001101537,0.0005751229
1900073,0.009202951,-0.0002026724,-2.763044,-0.001661546,-0.001805448,0.006716321,0.004336147,-0.002709881,-1.821278,0.001128249,0.0003259834,0.0005081589
2000033,0.01200634,-0.00153389,-2.951775,-0.001669688,-0.001748039,6.281965,0.001141622,-0.0008385097,-1.7625,-0.000328169,0.001225419,0.0006006201
2099993,0.01516818,-0.003494862,-3.134394,-0.001698461,-0.001641779,6.282033,0.002526572,-0.00161573,-1.690939,0.0005626249,0.002517533,-5.738519e-05
2199953,0.01779817,-0.005349807,-3.309402,-0.001528888,-0.001313964,6.282045,0.0003460037,-7.906143e-05,-1.614655,0.002530419,0.00309534,-0.0002894907
2299913,0.02087964,-0.007528893,-3.475873,-0.00136363,-0.001074361,6.282,-0.000556613,0.002866704,-1.51041,0.001115913,0.001781876,2.910744e-05
2400706,0.02338098,-0.00910147,-3.631079,-0.001413666,-0.001819733,6.281983,1.73084e-05,0.00410311,-1.400898,-0.001675688,-0.01509596,0.000634081
2500666,0.02626771,-0.01108682,-3.775272,-0.001445872,-0.005060534,6.281994,0.0009244221,0.003090172,-1.287964,0.002103665,-0.04347844,0.0009224448
2600626,0.02912008,-0.01253855,-3.907452,-0.001171751,-0.01166318,6.282015,0.008083637,0.004986544,-1.16746,0.002774851,-0.07854366,0.00084904
2700586,0.03349326,-0.01421002,-4.027932,-0.0009616019,-0.02133037,6.281998,0.02053736,0.006206329,-1.051106,0.003450249,-0.1061386,0.0007972284
2800546,0.0391552,-0.01521591,-4.135853,-0.0007916972,-0.03336937,6.281986,0.04495794,0.008250409,-0.9334674,0.001032289,-0.1267077,0.0005970615
2900506,0.04789989,-0.01628101,-4.232626,-0.000852891,-0.04641468,6.281943,0.07799784,0.008901762,-0.8252151,-0.0004581633,-0.1295406,0.0008645378
3000466,0.05977327,-0.01720102,-4.318284,-0.0008854853,-0.05866349,6.281936,0.1186969,0.009136767,-0.7310685,0.0005488112,-0.117199,0.001077763
3100426,0.07604162,-0.01896499,-4.394819,-0.0007310386,-0.06933381,6.281848,0.1663468,0.0103253,-0.6417283,0.003817724,-0.1007026,0.001346106
3200386,0.09681692,-0.02031251,-4.46204,-0.0004372467,-0.07840884,6.281806,0.223146,0.009431341,-0.566305,0.003254125,-0.0843813,0.001880387
3300346,0.1227175,-0.02244909,-4.521667,-2.897919e-05,-0.08608191,6.281673,0.2806479,0.006765227,-0.4974552,0.006510933,-0.07384351,0.002392152
3400306,0.1540348,-0.02419925,-4.574049,0.0006091964,-0.0932638,6.281627,0.3418788,0.009398586,-0.4390258,0.006718076,-0.07100636,0.002886609
3500266,0.1910961,-0.02631464,-4.620332,0.001068349,-0.1002777,6.281501,0.4044872,0.007908944,-0.3863795,0.006105878,-0.07128989,0.003418433
3600226,0.2342726,-0.02811631,-4.660871,0.001651061,-0.1072576,6.281523,0.4685693,0.007841829,-0.3411397,0.007278381,-0.06965612,0.004276787
3700186,0.2834124,-0.03027823,-4.696896,0.002229693,-0.1139086,6.281426,0.5354614,0.005152126,-0.3014498,0.007534864,-0.0648942,0.004432186
3800146,0.3390749,-0.03221285,-4.728469,0.00281984,-0.1196174,6.281475,0.6035087,0.006752039,-0.2688597,0.005886377,-0.05285574,0.00491412
3900106,0.40115,-0.03483569,-4.756515,0.00320636,-0.1241335,6.281395,0.6730694,0.007235856,-0.2373649,0.005312269,-0.04155957,0.004848649
4000066,0.4699642,-0.0367223,-4.781041,0.003530674,-0.1276252,6.281454,0.7442454,0.009584095,-0.2107964,0.003357463,-0.03169241,0.005213031
4100026,0.5445274,-0.03885061,-4.802699,0.003573421,-0.1304167,6.281468,0.8093392,0.01055328,-0.189089,0.001520375,-0.02854545,0.004805615
4199986,0.6262251,-0.04030088,-4.82193,0.003622773,-0.1332225,6.281584,0.8749384,0.01281743,-0.1686858,0.00119401,-0.02795076,0.004423372
4299946,0.7144738,-0.04172389,-4.838915,0.003580095,-0.1361103,6.281643,0.9379377,0.01304118,-0.1535639,-0.0005212029,-0.0298598,0.00385486
4399906,0.8095896,-0.04252327,-4.854038,0.00361217,-0.1390976,6.281752,1.003174,0.01551278,-0.136832,0.001008645,-0.02982107,0.003459756
4500699,0.9116545,-0.04314898,-4.867458,0.003847287,-0.1418252,6.282859,1.066491,0.01821239,-0.1272003,0.005920073,-0.02636721,0.02865567
4600659,1.020192,-0.04267641,-4.879417,0.003397012,-0.1448115,0.005313548,1.126865,0.02184404,-0.113256,0.00155697,-0.03213572,0.06916039
4700619,1.134999,-0.041395,-4.889919,0.002258859,-0.1489309,0.0120894,1.18774,0.02475216,-0.102142,-0.00303954,-0.04574717,0.06258749
4800579,1.256355,-0.03943834,-4.899206,0.0008549916,-0.1541645,0.01684441,1.250401,0.02643546,-0.09488814,-0.008409369,-0.05570072,0.03769162
4900539,1.384818,-0.03703634,-4.907368,-0.0005052777,-0.1600997,0.01925346,1.316078,0.02984167,-0.08448488,-0.00992654,-0.06033261,0.01691928
5000499,1.520047,-0.03431998,-4.914584,-0.001764501,-0.1662181,0.02038237,1.382984,0.02895875,-0.07975726,-0.01093508,-0.06032291,0.008322665
5100459,1.66224,-0.03179995,-4.921086,-0.002658115,-0.172033,0.02063,1.447785,0.02793219,-0.07324685,-0.006975438,-0.05559994,-0.001044743
5200419,1.811204,-0.0289162,-4.926984,-0.003115039,-0.1771231,0.02012504,1.516173,0.02968501,-0.06805372,-0.003937339,-0.04713931,-0.007347178
5300379,1.96767,-0.02553337,-4.932061,-0.003470862,-0.1810057,0.01955719,1.586481,0.02683678,-0.06154836,-0.005616823,-0.03336911,-0.006908172
5400339,2.13085,-0.02249015,-4.936491,-0.003619813,-0.1835529,0.01873991,1.654858,0.02421369,-0.05774419,-0.001394294,-0.02163754,-0.01215688
5500299,2.300844,-0.01962012,-4.940506,-0.003361959,-0.185184,0.01724947,1.722062,0.02285402,-0.05428217,-5.516689e-06,-0.01331768,-0.01738217
5600259,2.477233,-0.01698695,-4.944077,-0.003102487,-0.1863835,0.01559261,1.78353,0.02089604,-0.05057097,-0.0007280406,-0.01156496,-0.01687079
5700219,2.660101,-0.01462978,-4.947256,-0.002813422,-0.1876745,0.0140717,1.843638,0.02183319,-0.04808076,0.0001959387,-0.01333432,-0.0146567
5800179,2.848573,-0.01211405,-4.950251,-0.00272515,-0.1891234,0.01302874,1.898771,0.02146889,-0.04592323,-0.002782735,-0.01543274,-0.008354696
